Halkirk,58.5154974,-3.493004244
Harelaw,55.91651494,-3.086776845
Harperrig,55.83652095,-3.435270947
Hatton (Perth),56.52513594,-2.648539891
Hatton No 2,57.42757524,-1.909678484
Hazelwood Cottage,56.26715284,-5.494662553
High Corrie (Gartmore),56.1262023,-4.446294544
Hunterston Terminal,55.74447583,-4.86116797
Hydro Gardens Moffat,55.34214596,-3.452988353
Inchvuilt,57.40830735,-4.957620811
Ingleston Farm,54.81170556,-4.166358356
Inshes,57.45203372,-4.184715941
Inverewe Garden,57.77399694,-5.596995718
Inverey,56.98569953,-3.500915775
Invermark,56.91121364,-2.914811966
Inveruglas,56.2473573,-4.71287133
Inverurie,57.2583172,-2.362253256
Irvine Gailes,55.58754361,-4.663320263
Jedburgh,55.48529122,-2.54668704
Keith,57.55084994,-2.952079018
Killermont Raingauge,55.91108458,-4.305014408
Killilan,57.31881832,-5.424835603
Killin,56.45816211,-4.331876561
Kilphedir,58.14138911,-3.702814019
Kinbuck,56.2255551,-3.949530685
Kindrogan,56.74926972,-3.544931301
Kinghorn Ecology Centre Rain Gauge,56.07462319,-3.193432968
Kingledores,55.54240926,-3.413947163
Kinkell Bridge,56.33018709,-3.726992915
Kinmount House,55.01095443,-3.351411196
Kirkcaldy,56.11765342,-3.147961765
Kirkcudbright Raingauge,54.84543419,-4.038511682
Kirkwall,58.98622363,-2.949352863
Kirriemuir STW,56.65983513,-2.999773468
Kirriereoch,55.15077902,-4.571934377
Knockanrock,58.03118174,-5.07294078
Ladyflat Farm,55.75636712,-2.369501202
Lagafater Lodge,55.04328363,-4.913741812
Lanark STW,55.67436394,-3.795938206
Langwell Lodge,57.9748238,-5.100589967
Lathro,56.2213192,-3.42872292
Laxdale,57.86865846,-6.893581696
Lecht Weather Station,57.19821668,-3.25888009
Letham Grange,56.60403394,-2.609495534
Lingerton,56.01244753,-5.422443562
Little Assynt,58.17438109,-5.152302768
Loch Ailsh Level,58.04827715,-4.855312073
Loch Droma,57.73309629,-4.936434641
Loch Katrine,56.22701614,-4.436245731
Loch Restil,56.23604254,-4.853369348
Loch Tormasad,57.56195723,-7.316740973
Loch Venachar,56.23425763,-4.256866368
Lochindorb North,57.41478835,-3.691385645
Lochwinnoch,55.78853152,-4.618943233
Lossiemouth,57.71918475,-3.323337879
Low Creoch,54.90352684,-4.18922643
Luffness,56.02022484,-2.821888561
Luib,57.5445048,-5.123945869
Lukeston,55.98447497,-4.240765022
Luss Raingauge,56.09892116,-4.638863963
Lyne Station,55.64733183,-3.25808918
Meadowfoot,55.40534471,-3.799886702
Merton Bank Lochmaben,55.13494009,-3.439865821
Mill Croft,57.2886568,-7.368331541
Mill Of Gavel,57.55561687,-2.009109628
Millport,55.74955539,-4.907441406
Milton of Evelix TBR,57.89128749,-4.084164503
Minnigaff,54.9588823,-4.471659058
Moar,56.57276553,-4.388958153
Mongour,57.00199506,-2.388582046
Montrose,56.69908575,-2.491155025
Monyquil Farm,55.56419458,-5.271931931
Mouthbridge,55.77012815,-2.279193263
Muirkirk STW,55.51335703,-4.096604222
Muirshiel RG,55.84918458,-4.742664896
Murray Burn,55.91287677,-3.317681386
Murton,56.65077608,-2.823539396
Mylnefield,56.46017678,-3.075838089
Nairn Dunbar Golf Course,57.59406094,-3.842759406
New Kelso,57.42953514,-5.429999168
Newton of Falkland,56.25431474,-3.186268594
Newtonairds,55.10134134,-3.742902191
Nigg Headworks,57.13140193,-2.061103972
North Berwick (Kingston),56.03149667,-2.734270572
Nunraw Abbey,55.92185875,-2.653499917
Old Mill of Newton,57.35801578,-2.577016947
Ormiston Mill,55.54491924,-2.473314492
Penwhapple Reservoir,55.23585144,-4.747897404
Perth Norwich Union,56.38611935,-3.464092253
Picketlaw Reservoir,55.73611493,-4.281846657
Pluscarden Abbey,57.59946107,-3.433170424
Polhollick,57.05514629,-3.083180673
Polloch,56.75844885,-5.613663683
Polmonthill STW,55.99776804,-3.680208641
Portling,54.87093795,-3.744601282
Portmoak,56.19239436,-3.334726298
Prestwick,55.50523784,-4.610940702
Quarry Head,57.63465034,-2.025944065
Quinloch Farm,56.0079586,-4.377500029
Rest and be Thankful,56.22216848,-4.859016846
Rhian Bridge,58.11499626,-4.439159665
Rhiconich,58.42139172,-4.991227379
RhynieGS,57.3317252,-2.828953912
Ross Priory,56.05257642,-4.55746111
Rossie Farm,56.29912602,-3.202717904
Rothienorman,57.40900118,-2.466784574
Saline,56.12224003,-3.585958925
Saughall,55.60098751,-4.226431521
Scardroy No3,57.51892459,-4.985935657
Sgodachail,57.89327664,-4.546976399
Shiplaw,55.72796917,-3.207291434
Shotts WWTW,55.81395203,-3.811987501
Slamannan,55.94205217,-3.832217321
Sluggan,57.27399763,-3.875997348
Solwaybank,55.08629786,-3.086937218
Sorbie,54.79252816,-4.42628864
South Moorhouse,55.73251416,-4.350287842
Spey Dam,57.01121062,-4.336367491
St Monance,56.2047855,-2.78271364
Stewarton,55.72543649,-4.445306033
Stonyford,56.84214794,-2.811870347
Strathkelvin House,55.94300475,-4.172710018
Strathkinness,56.33136897,-2.863918962
Strathy Bridge,58.55872143,-4.002604762
Strathyre,56.32054504,-4.328975608
Strowan,56.36918493,-3.92115763
Tarland WWTP,57.12504883,-2.851450464
Teviothead,55.34222734,-2.936481216
The Lecht,57.20200168,-3.249607166
Tillicoultry,56.148819,-3.7458095
Tobermory,56.62026156,-6.080645248
Tomatin No2,57.33816398,-4.013360208
Torduff,55.8968016,-3.267160193
Torwinny,57.52198313,-3.446843553
Townfoot (Glencaple),54.99473579,-3.568993615
Tromie Bridge,57.0717185,-3.998638147
Tulchan,57.39918687,-3.44381882
Unthank Raingauge,55.24281443,-2.964073002
Upper Monachyle,56.39271229,-4.463706898
Urquhart,57.59399199,-4.374371661
Wardend Bridge,57.58239454,-3.608335401
Waterside Perth,56.89929851,-2.820760629
Waulkmill Glen,55.79484353,-4.353627607
Weisdale Mill,60.2593269,-1.288604022
Westhill,57.14756943,-2.291989375
Whitburn,55.87157334,-3.682936938
White Clauchrie,55.1412921,-4.677220867
